R,G,B,S1,S2
89.26824987311791,63.01723481644392,49.872843004567756,13.144391811876162,-65.64642192522415
89.30797809103261,63.01725968070652,49.85236922554348,13.164890455163047,-65.74632727581522
89.57476035604245,63.13270284149264,49.98281838411503,13.14988445737761,-66.03399948647723
89.53761722080137,63.062084398976985,49.88531543052003,13.176768968456955,-66.12783461210572
89.2931598165761,62.98201851222826,49.81222401494565,13.16979449728261,-65.79207710597828
89.46408780903666,63.02649190110827,49.84556692242114,13.18092497868713,-66.0561167945439
89.2126543732025,62.91748435120961,49.756851632549484,13.160632718660125,-65.7509727626459
89.40903108016305,62.97806980298913,49.71577785326087,13.262291949728265,-66.1242145040761
89.4673273657289,62.9868925831202,49.724360613810745,13.262531969309457,-66.22340153452686
89.2063519021739,62.91261888586956,49.68000594429348,13.232612941576086,-65.82007897418478
89.31392238451087,62.99182659646739,49.77095363451087,13.220872961956523,-65.8650645380435
89.19858186141305,62.86880095108695,49.60880180027174,13.259999150815212,-65.9195609714674
89.13563603940217,62.88147503396739,49.68900730298913,13.192467730978258,-65.70078974184781
89.34590037658336,63.027858610065046,49.71366826429305,13.314190345771998,-65.95027387880863
89.20202472293265,62.980839727195224,49.68959931798806,13.291240409207163,-65.73361040068201
88.88855523600067,62.81986973439351,49.57348587379462,13.24638386059889,-65.38375486381321
88.85928776856707,62.750422940280835,49.54999154119438,13.200431399086455,-65.41816105565894
88.83725373641305,62.69081182065217,49.46323029891305,13.227581521739125,-65.52046535326087
88.74522077482659,62.63483336152935,49.44565217391305,13.189181187616306,-65.40995601421078
88.77330400947386,62.562383691422774,49.44692099475554,13.115462696667237,-65.5373033327694
88.95968495244566,62.68420940896739,49.46690302309783,13.217306385869563,-65.7682574728261
88.76662155303671,62.603197428523096,49.34583826763661,13.257359160886487,-65.58420740991373
88.79282270343427,62.60694045000846,49.400291828793776,13.206648621214683,-65.5784131280663
89.01664535379369,62.809953111679455,49.62423273657289,13.185720375106563,-65.59910485933504
88.77185792349727,62.46608179644809,49.23394808743169,13.232133709016395,-65.84368596311475
89.18650895140665,62.89000426257459,49.60230179028133,13.287702472293262,-65.88071184995738
88.87851040433091,62.81955252918288,49.536182541025205,13.283369988157673,-65.40128573845374
89.13710489660345,62.741647915997,49.37072752598307,13.370920390013929,-66.16183435122683
89.12529733204757,62.772013286188795,49.420550733954784,13.351462552234011,-66.05803064395155
89.2400895140665,63.09639812446718,49.789556692242115,13.306841432225063,-65.5942242114237
89.1997707201087,63.107124660326086,49.82697860054348,13.28014605978261,-65.46543817934784
89.23452441939891,62.82123036202186,49.411949282786885,13.409281079234972,-66.23586919398909
89.30192764945652,63.16469938858695,49.88209069293478,13.282608695652172,-65.5570652173913
89.10729449728261,62.94340183423913,49.560971467391305,13.382430366847828,-65.71021569293478
89.10440726902173,62.96870754076087,49.606869904891305,13.361837635869563,-65.63323709239128
89.21933682963966,63.116435459313145,49.82101167315175,13.295423786161393,-65.5012265268144
89.46444038722827,63.222465183423914,49.938051970108695,13.284413213315219,-65.76836362092394
89.3574691253595,63.16875317205211,49.860810353578074,13.307942818474032,-65.68537472508882
89.11542040263915,63.0562510573507,49.74598206733209,13.310268990018606,-65.4286076805955
89.21280570652173,63.06564198369565,49.70066236413044,13.364979619565212,-65.65930706521738
88.95129842666215,62.87195482997801,49.659469632887834,13.212485197090174,-65.37117239045845
88.96337337167992,62.86436305193707,49.618402131619014,13.245960920318055,-65.44398155980377
89.12480967687362,62.932837083403825,49.6084841820335,13.324352901370325,-65.70829808830993
89.17930553205888,62.93040517678904,49.71276010827271,13.217645068516326,-65.71544577905601
89.26924552429668,62.99869991474851,49.80228047740835,13.196419437340154,-65.73751065643651
89.03535780747758,62.85497377770259,49.60484689561834,13.250126882084253,-65.61089494163424
89.1754840353261,62.9697265625,49.77101732336956,13.198709239130437,-65.61022418478262
89.20788043478261,62.97265625,49.81090777853261,13.16174847146739,-65.63219684103261
89.18582286005434,62.98643427309783,49.82449473505435,13.161939538043477,-65.5607167119565
88.98779296875,62.752144191576086,49.54600458559783,13.206139605978258,-65.67743716032608
89.17635444972827,62.996157438858695,49.79895550271739,13.197201936141305,-65.55759595788045
89.06775102459017,62.72681864754098,49.533000341530055,13.193818306010925,-65.8756830601093
89.1427691915761,63.00698454483695,49.802925441576086,13.204059103260867,-65.47562839673915
89.10177364864865,62.96794763513513,49.8527027027027,13.115244932432432,-65.38289695945946
89.0285472972973,63.01296452702703,49.74408783783784,13.268876689189192,-65.30004222972971
89.09041694972827,63.02248216711956,49.80912449048913,13.21335767663043,-65.34922724184784
89.1475246263587,63.00146484375,49.73373811141305,13.267726732336953,-65.55984629755436
89.01013776422337,62.93969923230624,49.84111893995163,13.098580292354612,-65.23945735618888
89.11812722043648,62.918372525799356,49.6900905092201,13.228282016579257,-65.6277914058535
88.8746418941692,62.781450117964276,49.622345803842265,13.159104314122011,-65.34548786653185
89.15705672554348,62.86918308423913,49.65516728940217,13.21401579483696,-65.78976307744567
88.81022497472195,62.70443629929221,49.57385406134142,13.13058223795079,-65.34215958881026
89.10474694293478,62.800229279891305,49.56148097826087,13.238748301630437,-65.84778362771738
89.01742513957029,62.74484012857385,49.73731179157503,13.007528336998817,-65.5526983589917
89.02203518863136,62.7779986465911,49.57033496870242,13.207663677888682,-65.69573676196921
89.06160125190323,62.73771358484182,49.62045339198105,13.117260192860769,-65.76503552698358
88.86040192113246,62.653669531513316,49.57482305358948,13.078846477923832,-65.49231125716213
89.15465777853261,62.780337126358695,49.69541864809783,13.084918478260867,-65.8335597826087
89.17068614130434,62.77513586956522,49.72134001358695,13.053795855978265,-65.84489639945652
89.17372197690217,62.78190811820652,49.64905315896739,13.132854959239133,-65.91648267663042
89.22553282182439,62.83299232736573,49.75673486786019,13.076257459505541,-65.86133844842286
89.18550441576087,62.820015285326086,49.78052819293478,13.039487092391305,-65.77046535326087
89.2368800951087,62.84132982336956,49.783012058423914,13.058317764945649,-65.84941830842394
89.12485014197077,62.83016090019981,49.817373015038385,13.012787885161423,-65.60216636870334
89.24596637228261,62.87393851902174,49.80954908288044,13.064389436141305,-65.80844514266303
89.05375570969379,62.78100152258501,49.682858230417864,13.098143292167144,-65.64365166638471
89.21347128378379,62.903800675675676,49.92162162162162,12.982179054054058,-65.60152027027027
